X,Y
0.188173,-15.062384
0.706327,302.128017
1.655367,757.014322
2.551023,1224.494787
3.334028,1525.05572
3.803159,1718.713793
4.345375,1850.839907
4.954502,2162.936103
5.204741,2251.338337
5.570656,2403.548854
5.996929,2532.124272
6.538935,2809.897564
6.613009,2718.935682
7.222464,3098.746872
8.076639,3282.260623
8.356712,3382.012298
8.40162,3469.564079
9.16586,3703.914729
9.681738,3916.731158
9.694507,3900.490092
9.781486,3849.737839
10.307817,4078.949087
10.634505,4239.647997
11.272734,4418.543804
11.328027,4231.874942
11.856888,4554.792334
12.418764,4688.536143
13.032737,4892.509743
13.851014,4994.91737
14.21491,4948.755267
14.993864,5323.819299
15.051034,5256.014906
15.243562,5297.101884
15.693147,5331.113192
15.912156,5518.037774
16.760543,5414.011114
17.306626,5496.997416
17.928106,5676.558859
18.556618,5850.863911
19.299337,6005.274677
19.435959,5772.694696
20.01291,5916.014886
20.705915,6135.414481
21.448128,6085.625454
21.949117,6257.990117
22.500709,6277.858723
23.024782,6317.578521
23.258261,6077.71574
23.720725,6305.63243
24.577257,6323.125908
25.468256,6260.563347
26.112686,6344.713284
26.684844,6303.369277
26.840395,6202.726777
26.978921,6166.481127
27.602919,6294.193058
27.653905,6150.774608
28.26481,6173.993182
29.246919,5962.416192
30.24572,5957.72675
30.794281,5749.860988
31.071063,5942.94262
31.693152,5750.576384
31.703756,5698.175103
31.989241,5834.055597
32.358509,5736.807472
33.226679,5610.939862
33.815209,5399.712538
34.210586,5446.262014
34.502347,5233.790323
34.717973,5195.542895
35.377866,5022.343739
35.910962,4907.681235
36.455677,4978.705888
36.520304,5027.568982
37.273883,4797.252949
37.339425,4582.943419
38.238048,4346.534495
38.762159,4197.274616
39.162031,4144.212206
39.573458,4098.20523
40.032628,3892.329958
40.524207,3861.6929
40.604844,3703.538096
40.951311,3730.31094
41.454731,3608.225505
42.404984,3224.135917
43.138744,2922.881405
43.479088,2910.060232
43.695069,2795.110157
44.370047,2546.492198
44.4358,2310.118842
44.677699,2498.184617
45.381739,2073.13476
46.170017,1862.908363
46.346458,1524.272278
47.225376,1241.210074
48.145536,858.023685
49.003528,596.50696
49.253144,215.653826
