X,Y
8.107412,8.894569
0.264915,4.802613
4.874102,7.936785
5.279141,8.444467
3.658648,0.811358
4.867612,6.38977
6.309237,5.821309
3.64215,9.18558
4.274969,1.67173
8.868199,5.935002
7.385704,8.472527
0.885061,4.217747
2.332569,8.779677
5.360633,9.863753
0.962311,2.388093
7.498277,7.200801
6.662875,7.91076
6.588228,2.87046
4.816832,3.828367
5.238836,3.706663
3.178358,2.729297
9.385681,7.220321
0.345267,5.8258
7.415363,9.003455
8.827933,7.636098
0.988246,7.966672
2.861466,5.400923
5.382718,8.126326
0.884108,3.042405
7.057731,2.334546
5.53274,3.672059
3.738737,0.676562
6.890533,3.975196
3.224909,1.0922
3.144405,5.690857
1.802963,1.585866
4.561992,3.615085
7.342347,8.281907
5.418565,0.229158
7.898523,2.537345
3.787553,6.790721
3.965506,3.341509
1.395796,8.312221
2.445285,7.740737
3.029307,4.996107
4.402666,1.342718
8.827331,6.640124
1.83485,7.574513
4.253424,8.580303
0.240013,3.693317
2.794616,8.47756
7.399852,1.162684
5.060248,8.70952
7.555684,0.836349
2.75413,4.220092
5.764452,7.664672
2.270863,3.557163
8.547235,8.334925
2.204802,1.613481
4.583004,2.48765
5.696364,5.566834
3.22898,7.816202
6.599842,6.871441
5.268752,4.892041
4.699481,6.735647
6.918956,1.564675
5.681376,6.579325
2.324577,9.213785
6.082387,9.680715
7.205669,1.486814
1.867337,3.898426
2.934948,1.889467
1.255,8.278484
4.787923,1.961077
3.10181,7.436644
5.390639,8.034561
7.58925,5.045488
7.538159,6.145743
6.752413,0.839906
2.69585,5.425588
0.369525,4.865177
6.303297,4.883223
1.824809,5.4856
6.161278,0.301762
0.581419,2.886413
7.806782,5.46393
4.185008,4.346211
2.578189,6.063686
0.967928,4.609603
5.891452,6.786509
3.589655,9.297306
8.502029,7.320417
4.440902,6.529234
7.893051,2.59671
2.164064,3.14795
6.160796,1.206474
3.408603,7.303038
4.974509,4.523695
4.976853,8.730646
5.384202,1.872481
8.714868,2.574521
1.916201,8.031734
6.273165,6.129817
5.076693,4.55594
3.413419,5.571826
7.790328,8.032213
9.382582,7.346309
5.023461,5.384947
8.206522,5.09944
6.437296,3.888323
6.382259,8.855404
0.637306,3.042311
0.176595,3.922162
5.525422,0.275591
0.15191,4.998137
8.006221,1.825886
6.965695,1.052626
1.460586,7.611934
5.958131,4.031435
3.047935,2.838704
4.945923,7.813998
6.393064,3.120687
4.8514,1.802109
2.401953,1.954534
4.185034,5.611361
6.943486,4.115894
9.342049,4.048362
3.993366,3.562164
9.806372,5.011189
4.700239,4.031818
0.251535,5.88433
4.355978,1.367259
0.661679,3.202176
1.493165,8.148662
7.111828,3.298484
6.91767,8.035702
7.34044,5.642369
3.799898,1.473785
8.580797,1.764771
4.543177,8.242933
5.695114,2.823826
0.689834,5.448476
5.547091,4.313371
9.707129,5.611568
3.337088,5.884437
7.267706,5.100683
5.741426,7.042417
8.719772,7.373775
7.850443,1.987224
7.170081,8.179569
4.639409,1.20863
7.862464,3.715238
5.55208,6.037358
2.487396,2.561918
5.590939,7.052521
2.08927,3.313586
2.082184,5.669267
4.147667,5.483263
6.870121,8.985152
5.389797,3.857767
1.97354,5.149462
2.195019,0.970636
4.590843,7.941919
6.463589,3.302805
7.247095,9.085679
5.144941,6.311132
4.503145,3.051977
7.968088,7.309253
2.249848,5.488627
3.666346,8.959565
3.930746,6.021107
9.24019,4.167265
7.536653,8.203195
2.779654,7.153029
8.666649,6.445346
8.905305,2.381259
2.183901,1.003787
1.677273,4.183964
8.50441,6.698008
1.947907,2.890543
9.788872,4.786449
0.224441,6.47489
6.229273,3.883122
3.353835,0.767953
2.253056,3.35509
7.537921,2.779229
2.636842,8.746122
6.64578,7.635801
5.156373,1.098262
6.315609,4.908306
2.84946,6.705883
4.51865,9.343355
5.932779,8.925414
1.207318,3.538297
5.011999,6.405828
4.426648,8.756731
3.255157,6.033128
9.366341,6.529338
8.950719,6.104589
8.38933,2.515727
0.797727,4.678689
6.593947,3.013202
5.528388,7.948073
6.397584,3.19835
8.459768,6.515269
7.536087,4.866719
4.106756,8.322398
1.446187,6.910219
4.344093,9.601816
3.926422,6.314178
2.873675,5.441947
5.693623,3.485232
6.67661,8.910355
8.44546,2.765771
2.744158,2.855932
7.824871,4.656049
4.331015,2.874131
8.487205,1.734896
5.661325,6.271596
2.109217,8.226298
9.134434,3.207517
8.069801,8.506003
4.506865,8.320428
3.668741,3.779357
4.562116,6.594461
6.095911,6.074426
4.313317,7.79265
4.863782,7.4041
1.197753,1.944892
9.558495,5.22009
0.84405,3.368411
8.877442,6.771946
4.099916,1.792429
3.126619,2.158512
5.024934,4.742815
6.488203,6.865937
8.337387,6.338603
2.353594,6.348485
6.333267,6.846925
5.364405,8.022636
3.026155,6.631817
9.344728,6.513024
5.304993,3.058885
6.593583,9.396378
2.975997,1.944879
7.306601,4.702225
4.741757,2.065543
1.791818,4.400383
9.284846,5.553562
0.408902,4.586238
7.927297,4.988445
7.33788,4.832659
2.68244,3.610104
0.918346,5.746627
2.252938,0.93129
4.742584,8.864097
4.461932,5.765306
5.010177,6.210092
8.722115,5.410083
3.509869,9.434732
9.059659,3.786824
1.461233,7.235225
8.101403,6.663188
3.684375,6.992084
1.958462,5.849763
6.570881,6.712392
3.410129,3.68238
7.831158,1.07804
4.825151,7.589165
2.057794,7.164417
2.853145,2.09004
3.771486,1.225132
4.077138,2.187719
8.805571,7.830904
4.538907,7.78308
5.637116,6.605858
6.332013,3.4841
1.303118,1.976401
4.688363,6.192873
5.31036,1.984748
5.462259,2.349523
6.4583,3.778699
3.841281,3.687853
7.262134,6.161909
5.046407,0.542942
3.789559,8.933439
2.349261,3.976849
4.486914,3.920737
4.341416,7.858559
7.616893,5.85779
7.328113,8.589169
1.244339,2.612359
9.363645,4.383029
6.013318,8.482336
4.616264,0.934517
8.765987,2.319489
9.12436,3.056686
3.127491,3.974979
4.501134,5.968136
7.88439,5.40965
1.801269,3.82453
1.168207,3.05211
3.023054,2.82255
9.459406,2.765763
2.632607,2.611155
2.984767,3.237529
2.861401,3.593556
3.257161,9.430492
1.599262,4.724288
5.208829,0.135776
1.539758,3.889246
6.918169,7.123579
9.542441,6.452678
4.373748,3.787786
3.327917,8.820234
3.209705,8.385377
5.437241,9.396475
0.637645,2.710007
3.695783,0.371768
4.883864,9.862858
2.30478,1.4538
3.102632,6.60411
2.371761,5.025688
0.80704,4.414687
7.69863,5.566467
3.763651,5.01952
4.100264,6.104652
8.966885,3.887707
6.264867,1.844843
6.731536,2.616577
6.850976,2.657124
7.089745,6.583707
5.737502,3.208951
5.233551,3.733726
0.754116,6.972456
5.947708,3.325043
4.06953,1.279414
2.964478,6.015203
2.280498,2.853909
1.101564,3.395274
7.679273,7.754917
3.881656,5.105537
3.754035,9.233082
2.255402,8.804103
0.936442,7.304429
0.51315,6.037207
7.488992,5.273088
6.325877,7.021238
5.538004,9.554349
2.635282,4.87543
5.603857,4.764851
5.444337,7.806219
6.981094,5.986139
8.774644,3.191754
0.296878,6.427456
0.380286,4.355917
4.672838,3.13744
7.797034,1.075623
4.032867,6.637838
6.559487,7.648576
2.070089,7.276165
4.420695,7.553801
6.91946,7.08058
8.973238,3.004788
4.678146,0.949075
5.574042,5.116381
4.153975,5.069764
7.803475,4.015851
4.282621,2.667613
2.598269,5.083818
2.380794,2.80143
4.433644,4.573811
