X,Y
8.939263,-1.062246
5.279031,4.046801
4.736398,4.229437
3.372788,7.002344
2.675337,8.98187
2.353903,8.213568
4.779126,6.182718
8.040868,0.616389
4.631255,7.332717
7.15859,0.665672
6.384893,3.421805
0.661822,11.908406
7.469668,2.52569
4.188804,5.384825
8.362416,-0.138906
4.043328,8.30756
0.792866,12.91009
3.748141,8.622806
5.098102,3.714024
7.106529,1.288444
9.103093,-0.740384
9.082347,-2.397599
4.873831,3.523089
2.869026,6.860656
3.562482,5.609239
2.90829,8.237559
4.775499,5.213681
7.126834,0.165071
6.309857,1.135717
7.693055,0.270747
2.337314,10.103252
7.216982,2.659421
5.309534,5.544912
6.904545,2.651398
1.707676,9.559426
1.681674,10.77785
6.601973,3.485376
8.281295,-0.32672
2.526358,10.677523
4.121311,7.852612
3.601419,8.184907
0.710427,11.350313
0.228312,12.907834
5.298927,4.690405
1.043007,11.052859
4.349663,6.478702
7.491337,0.169121
1.718505,10.708492
1.875259,11.355878
4.892286,5.141962
6.210754,3.173345
4.632197,7.134947
2.970876,7.059242
9.727192,-2.335783
8.804102,-2.528959
2.244418,10.515322
5.327076,4.484743
3.676247,8.159468
7.353923,1.988608
7.86554,1.579459
8.706947,-2.295693
5.922327,3.004967
5.00357,6.341553
2.180203,9.766373
0.695815,11.220274
2.17665,10.097759
2.452592,7.559052
5.018318,3.29451
8.898184,-2.601884
4.051499,6.598702
2.981593,8.099397
5.476167,3.997765
6.727157,1.652229
7.490093,-0.113289
8.649064,-0.052128
8.336321,-1.833537
7.798175,1.584741
5.726806,5.066937
2.758703,9.455645
6.727845,2.13908
1.053754,11.087762
3.524514,7.831775
0.930003,11.054722
6.968909,0.275057
0.588269,13.063145
3.603537,8.71043
7.926546,1.586754
2.601771,8.329275
2.095867,10.540009
7.40783,1.547501
3.080321,7.928273
8.682477,-1.496557
2.780001,7.454831
4.097906,4.807156
8.67551,0.009534
4.116638,8.029644
6.199715,1.60695
6.388577,1.340356
6.074091,4.517423
7.15817,0.544002
2.347194,10.739893
7.338668,0.120707
2.75527,8.250103
4.018693,6.499891
6.174376,4.610839
-0.003091,13.160988
8.570131,-1.96945
0.356273,12.517504
2.479357,8.48163
6.695906,2.855881
4.499293,5.613099
3.448106,8.909093
6.798857,2.888319
6.140219,2.652057
5.860233,2.85612
1.655207,10.166122
3.756749,5.723188
7.164196,1.163333
5.868064,5.390154
5.576037,2.511129
0.041683,13.109454
2.891326,9.171485
4.487355,4.222073
3.988084,7.19538
0.693522,11.579442
5.971815,5.048516
1.905369,10.5422
7.889652,-0.791073
-0.004724,13.108857
7.092349,1.450002
1.462069,11.41254
5.493899,5.431624
6.305121,3.778879
4.779949,6.556134
7.940932,0.99734
4.340917,6.677752
4.908447,6.716629
2.716711,9.421498
1.316902,9.895925
3.948366,7.431664
4.564063,4.893058
7.689874,1.12095
7.961944,0.730123
7.103408,1.231496
8.652754,-1.21038
0.87895,12.112093
1.900264,10.400338
6.058029,4.098685
7.445353,-0.069722
5.060699,5.811697
6.684869,2.267576
7.959526,0.522919
3.491236,7.524272
7.828859,1.230357
7.258387,0.563544
7.78101,-0.642875
2.829235,9.274502
9.307492,-1.545461
6.514395,3.427988
2.888944,8.11438
3.363986,6.848517
6.731513,3.659658
1.841449,10.748235
3.640632,7.174627
6.785906,3.580616
4.645297,7.431348
3.157622,9.472041
2.258501,8.499995
1.309615,12.35458
6.700088,2.945947
6.39674,2.356149
5.379664,4.415561
7.064481,-0.047168
3.845148,5.893008
6.062424,1.91366
1.067601,11.397645
3.386261,8.60673
9.845318,-3.471422
8.64927,-0.483955
8.177134,-0.413273
6.10555,4.934261
4.010543,5.448122
0.432542,12.230392
2.777884,8.273063
7.866904,-0.67508
7.009391,2.404286
2.872304,10.152246
5.224395,5.010195
0.886982,12.847559
7.516559,-0.8198
9.215321,-2.583615
5.512383,2.399186
5.225794,4.003903
5.768787,3.932442
4.385348,5.602848
7.210086,0.875737
2.045963,10.624508
8.903808,-0.893384
6.450271,3.216391
6.925736,0.942787
4.834806,3.893752
7.427905,0.600124
3.585475,6.589208
7.965024,-0.279501
9.378427,-1.80806
6.288191,1.496858
0.31636,12.235554
6.585808,4.07415
1.661724,9.272572
1.957633,8.577642
8.665873,-2.140623
0.783848,12.233091
7.130176,1.565398
8.994325,-1.688592
1.093589,10.54029
6.194832,2.555091
3.742516,7.641154
3.26076,9.709926
5.586964,4.986654
5.473708,4.969096
3.268466,7.30813
2.623892,9.163635
1.827694,10.408186
7.289695,2.430431
1.784226,11.705276
1.227043,12.240678
4.892339,4.159987
4.964597,6.795685
3.919041,7.13258
3.722411,7.008653
8.421764,0.412703
8.9376,-1.826097
6.521834,2.22347
8.854424,-2.249152
3.47394,7.419972
7.98147,-1.516674
8.338832,-0.29391
2.146669,9.931605
5.137948,4.391384
4.973868,5.432449
4.947951,4.93133
6.273525,2.549304
2.823783,6.917675
6.223335,3.233931
4.010737,5.444555
2.914493,9.038894
2.996804,10.144273
4.105396,5.181349
5.97197,4.598016
6.211458,2.168207
2.00565,10.480693
4.384597,5.211801
6.041747,4.963114
7.178119,-0.367058
5.990139,1.711905
7.22219,0.832496
5.208817,4.890328
4.183649,5.455764
10.0178,-3.623511
9.409452,-2.145915
7.750303,1.663126
3.739019,7.278625
8.140893,0.84773
6.129854,2.393744
3.148026,8.993668
5.441184,5.613248
6.739212,0.815264
3.355733,7.099585
5.695063,3.540213
2.476393,9.835779
6.108634,3.020932
3.351232,6.436478
8.819192,-1.887607
2.503045,9.282801
2.474937,10.465023
4.743625,5.756304
4.691908,4.299623
8.552821,-0.999392
5.966853,3.184845
8.560604,-1.85341
1.027641,10.931289
7.870232,-1.376961
0.127035,12.92186
6.858239,1.924554
1.898456,11.478494
8.286958,0.745458
8.723049,-1.203266
5.780259,2.062342
6.424128,3.501408
7.406813,2.021378
5.224657,5.544935
1.324715,11.174757
3.738046,7.546287
8.387059,0.710675
5.742559,1.826511
2.661698,8.198979
